Day ,Items ,Note ,Amount 
88,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,1700
88,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
88,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2600
88,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
88,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2200
88,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2000
88,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,1300
88,Salary Expense,Cash Payment - Salary Expense,29458
88,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 14722,167
88,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 14741,98
88,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 14748,189
88,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 14757,158
88,Depreciation Expense,Non-Cash Expense - Depreciation,5000
88,Rental Expense,Cash Payment - Rental - Detroit,2400
88,Rental Expense,Cash Payment - Rental - Los Angeles,1080
88,Rental Expense,Cash Payment - Rental - New York,2680
88,Rental Expense,Cash Payment - Rental - Chicago,1480
87,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
87,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,1700
87,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
87,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2600
87,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
87,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2200
87,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2000
87,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,1300
87,Salary Expense,Cash Payment - Salary Expense,29358
87,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 14367,162
87,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 14372,109
87,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 14377,231
87,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 14382,191
87,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 14564,312
87,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 14581,260
87,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 298,15000
87,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 334,15000
87,Depreciation Expense,Non-Cash Expense - Depreciation,5000
87,Rental Expense,Cash Payment - Rental - Detroit,2400
87,Rental Expense,Cash Payment - Rental - Los Angeles,1080
87,Rental Expense,Cash Payment - Rental - New York,2680
87,Rental Expense,Cash Payment - Rental - Chicago,1480
86,Human Resource Expense,Counselled,2000
86,Human Resource Expense,Counselled,2000
86,Human Resource Expense,Counselled,2000
86,Human Resource Expense,Counselled,2000
86,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
86,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,1700
86,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
86,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2600
86,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
86,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2200
86,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2000
86,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,1300
86,Salary Expense,Cash Payment - Salary Expense,29358
86,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 14228,164
86,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 14385,108
86,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 265,15000
86,Depreciation Expense,Non-Cash Expense - Depreciation,5000
86,Rental Expense,Cash Payment - Rental - Detroit,2400
86,Rental Expense,Cash Payment - Rental - Los Angeles,1080
86,Rental Expense,Cash Payment - Rental - New York,2680
86,Rental Expense,Cash Payment - Rental - Chicago,1480
85,Human Resource Expense,Counselled,2000
85,Human Resource Expense,Counselled,2000
85,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
85,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,1700
85,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
85,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2600
85,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
85,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2200
85,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2000
85,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,1300
85,Salary Expense,Cash Payment - Salary Expense,29316
85,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 14025,132
85,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 14178,129
85,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 14190,225
85,Depreciation Expense,Non-Cash Expense - Depreciation,5000
85,Rental Expense,Cash Payment - Rental - Detroit,2400
85,Rental Expense,Cash Payment - Rental - Los Angeles,1080
85,Rental Expense,Cash Payment - Rental - New York,2680
85,Rental Expense,Cash Payment - Rental - Chicago,1480
84,Human Resource Expense,Counselled,2000
84,Human Resource Expense,Counselled,2000
84,Human Resource Expense,Counselled,2000
84,Human Resource Expense,Counselled,2000
84,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
84,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,1700
84,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
84,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2600
84,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
84,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2400
84,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,1700
84,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,2000
84,Salary Expense,Cash Payment - Salary Expense,29316
84,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 14000,193
84,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 14014,161
84,Depreciation Expense,Non-Cash Expense - Depreciation,5000
84,Rental Expense,Cash Payment - Rental - Detroit,2400
84,Rental Expense,Cash Payment - Rental - Los Angeles,1080
84,Rental Expense,Cash Payment - Rental - New York,2680
84,Rental Expense,Cash Payment - Rental - Chicago,1480
83,Human Resource Expense,Counselled,2000
83,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
83,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,1700
83,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
83,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2600
83,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
83,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2400
83,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,1700
83,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,2000
83,Salary Expense,Cash Payment - Salary Expense,29316
83,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 13826,118
83,Depreciation Expense,Non-Cash Expense - Depreciation,5000
83,Rental Expense,Cash Payment - Rental - Detroit,2400
83,Rental Expense,Cash Payment - Rental - Los Angeles,1080
83,Rental Expense,Cash Payment - Rental - New York,2680
83,Rental Expense,Cash Payment - Rental - Chicago,1480
82,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
82,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,1700
82,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
82,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2600
82,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
82,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2400
82,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,1700
82,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,2000
82,Salary Expense,Cash Payment - Salary Expense,29266
82,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 13484,159
82,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 13489,273
82,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 13500,205
82,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 13643,188
82,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 13654,168
82,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 13660,237
82,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 298,15000
82,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 334,15000
82,Depreciation Expense,Non-Cash Expense - Depreciation,5000
82,Rental Expense,Cash Payment - Rental - Detroit,2400
82,Rental Expense,Cash Payment - Rental - Los Angeles,1080
82,Rental Expense,Cash Payment - Rental - New York,2680
82,Rental Expense,Cash Payment - Rental - Chicago,1480
81,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
81,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,1700
81,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
81,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2600
81,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
81,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2400
81,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,1700
81,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,2000
81,Salary Expense,Cash Payment - Salary Expense,29066
81,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 13368,311
81,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 13491,201
81,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 265,15000
81,Depreciation Expense,Non-Cash Expense - Depreciation,5000
81,Rental Expense,Cash Payment - Rental - Detroit,2400
81,Rental Expense,Cash Payment - Rental - Los Angeles,1080
81,Rental Expense,Cash Payment - Rental - New York,2680
81,Rental Expense,Cash Payment - Rental - Chicago,1480
80,Human Resource Expense,Counselled,2000
80,Human Resource Expense,Counselled,2000
80,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
80,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,1700
80,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
80,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2600
80,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
80,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2400
80,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,1700
80,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,2000
80,Salary Expense,Cash Payment - Salary Expense,28166
80,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 13295,125
80,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 13300,174
80,Depreciation Expense,Non-Cash Expense - Depreciation,5000
80,Rental Expense,Cash Payment - Rental - Detroit,2400
80,Rental Expense,Cash Payment - Rental - Los Angeles,1080
80,Rental Expense,Cash Payment - Rental - New York,2680
80,Rental Expense,Cash Payment - Rental - Chicago,1480
79,Human Resource Expense,Counselled,2000
79,Human Resource Expense,Counselled,2000
79,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
79,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,1700
79,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
79,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2600
79,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
79,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2400
79,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,1700
79,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,2000
79,Salary Expense,Cash Payment - Salary Expense,28036
79,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 13092,201
79,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 13109,249
79,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 13110,195
79,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 13123,153
79,Depreciation Expense,Non-Cash Expense - Depreciation,5000
79,Rental Expense,Cash Payment - Rental - Detroit,2400
79,Rental Expense,Cash Payment - Rental - Los Angeles,1080
79,Rental Expense,Cash Payment - Rental - New York,2680
79,Rental Expense,Cash Payment - Rental - Chicago,1480
78,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
78,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,1700
78,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
78,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2600
78,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
78,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2400
78,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,1700
78,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,2000
78,Salary Expense,Cash Payment - Salary Expense,28036
78,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 12926,161
78,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 12929,110
78,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 12935,248
78,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 12939,175
78,Depreciation Expense,Non-Cash Expense - Depreciation,5000
78,Rental Expense,Cash Payment - Rental - Detroit,2400
78,Rental Expense,Cash Payment - Rental - Los Angeles,1080
78,Rental Expense,Cash Payment - Rental - New York,2680
78,Rental Expense,Cash Payment - Rental - Chicago,1480
77,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
77,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,1700
77,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
77,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2600
77,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
77,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2400
77,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,1700
77,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,2000
77,Salary Expense,Cash Payment - Salary Expense,27944
77,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 12738,123
77,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 12754,108
77,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 298,15000
77,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 334,15000
77,Depreciation Expense,Non-Cash Expense - Depreciation,5000
77,Rental Expense,Cash Payment - Rental - Detroit,2400
77,Rental Expense,Cash Payment - Rental - Los Angeles,1080
77,Rental Expense,Cash Payment - Rental - New York,2680
77,Rental Expense,Cash Payment - Rental - Chicago,1480
76,Human Resource Expense,Counselled,2000
76,Human Resource Expense,Counselled,2000
76,Human Resource Expense,Counselled,2000
76,Human Resource Expense,Counselled,2000
76,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
76,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,1700
76,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
76,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2600
76,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
76,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,3000
76,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2100
76,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,2200
76,Salary Expense,Cash Payment - Salary Expense,27944
76,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 265,15000
76,Depreciation Expense,Non-Cash Expense - Depreciation,5000
76,Rental Expense,Cash Payment - Rental - Detroit,2400
76,Rental Expense,Cash Payment - Rental - Los Angeles,1080
76,Rental Expense,Cash Payment - Rental - New York,2680
76,Rental Expense,Cash Payment - Rental - Chicago,1480
75,Human Resource Expense,Counselled,2000
75,Human Resource Expense,Counselled,2000
75,Human Resource Expense,Counselled,2000
75,Human Resource Expense,Counselled,2000
75,Human Resource Expense,Counselled,2000
75,Human Resource Expense,Counselled,2000
75,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
75,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,1700
75,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
75,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2600
75,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
75,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,3000
75,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2100
75,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,2200
75,Salary Expense,Cash Payment - Salary Expense,27904
75,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 12356,270
75,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 12360,126
75,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 12361,256
75,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 12364,121
75,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 12375,134
75,Depreciation Expense,Non-Cash Expense - Depreciation,5000
75,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,393
75,Rental Expense,Cash Payment - Rental - Detroit,2400
75,Rental Expense,Cash Payment - Rental - Los Angeles,1080
75,Rental Expense,Cash Payment - Rental - New York,2680
75,Rental Expense,Cash Payment - Rental - Chicago,1480
74,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
74,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,2200
74,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2800
74,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2200
74,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
74,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,3000
74,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2100
74,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,2200
74,Salary Expense,Cash Payment - Salary Expense,27904
74,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 12038,315
74,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 12161,217
74,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 12174,175
74,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 12175,75
74,Depreciation Expense,Non-Cash Expense - Depreciation,5000
74,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,180
74,Rental Expense,Cash Payment - Rental - Detroit,2400
74,Rental Expense,Cash Payment - Rental - Los Angeles,1080
74,Rental Expense,Cash Payment - Rental - New York,2680
74,Rental Expense,Cash Payment - Rental - Chicago,1480
73,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
73,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,2200
73,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2800
73,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2200
73,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
73,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,3000
73,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2100
73,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,2200
73,Salary Expense,Cash Payment - Salary Expense,27904
73,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 11961,126
73,Depreciation Expense,Non-Cash Expense - Depreciation,5000
73,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,1020
73,Rental Expense,Cash Payment - Rental - Detroit,2400
73,Rental Expense,Cash Payment - Rental - Los Angeles,1080
73,Rental Expense,Cash Payment - Rental - New York,2680
73,Rental Expense,Cash Payment - Rental - Chicago,1480
72,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
72,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,2200
72,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2800
72,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2200
72,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
72,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,3000
72,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2100
72,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,2200
72,Salary Expense,Cash Payment - Salary Expense,27858
72,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 11774,225
72,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 11796,124
72,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 298,15000
72,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 334,15000
72,Depreciation Expense,Non-Cash Expense - Depreciation,5000
72,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,654
72,Rental Expense,Cash Payment - Rental - Detroit,2400
72,Rental Expense,Cash Payment - Rental - Los Angeles,1080
72,Rental Expense,Cash Payment - Rental - New York,2680
72,Rental Expense,Cash Payment - Rental - Chicago,1480
71,Human Resource Expense,Counselled,2000
71,Human Resource Expense,Counselled,2000
71,Human Resource Expense,Counselled,2000
71,Human Resource Expense,Counselled,2000
71,Human Resource Expense,Counselled,2000
71,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
71,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,2200
71,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2800
71,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2200
71,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
71,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,3000
71,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2100
71,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,2200
71,Salary Expense,Cash Payment - Salary Expense,27674
71,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 11577,264
71,Maintenance Expense,Cash Payment - Maintenance periodic Machine ID: 265,15000
71,Depreciation Expense,Non-Cash Expense - Depreciation,5000
71,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,669
71,Rental Expense,Cash Payment - Rental - Detroit,2400
71,Rental Expense,Cash Payment - Rental - Los Angeles,1080
71,Rental Expense,Cash Payment - Rental - New York,2680
71,Rental Expense,Cash Payment - Rental - Chicago,1480
70,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
70,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,2200
70,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2800
70,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2200
70,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
70,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,3000
70,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2100
70,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,2200
70,Salary Expense,Cash Payment - Salary Expense,26846
70,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 11352,98
70,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 11402,124
70,Depreciation Expense,Non-Cash Expense - Depreciation,5000
70,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,948
70,Rental Expense,Cash Payment - Rental - Detroit,2400
70,Rental Expense,Cash Payment - Rental - Los Angeles,1080
70,Rental Expense,Cash Payment - Rental - New York,2680
70,Rental Expense,Cash Payment - Rental - Chicago,1480
69,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
69,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,2200
69,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2800
69,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2200
69,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
69,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,3000
69,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2100
69,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,2200
69,Salary Expense,Cash Payment - Salary Expense,26722
69,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 11200,136
69,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 11222,81
69,Depreciation Expense,Non-Cash Expense - Depreciation,10000
69,Overflow Expense - Warehouse,Cash Payment - Overflow Fee - Detroit,1242
69,Rental Expense,Cash Payment - Rental - Detroit,2400
69,Rental Expense,Cash Payment - Rental - Los Angeles,1080
69,Rental Expense,Cash Payment - Rental - New York,2680
69,Rental Expense,Cash Payment - Rental - Chicago,1480
68,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
68,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,2200
68,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2800
68,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2200
68,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
68,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,3000
68,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2100
68,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,2200
